"Pk";"Tm";"Player";"College";"Yrs";"G";"MP";"PTS";"TRB";"AST";"FG.";"3P.";"FT.";"MP.1";"PTS.1";"TRB.1";"AST.1";"WS";"WS.48";"BPM";"VORP";"year"
56;"MNL";"Ed Brinkley";"Clemson University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
57;"CIN";"Bob Mantz";"Lafayette College";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
58;"DET";"Jack Quiggle";"Michigan State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
59;"NYK";"Milt Kane";"University of Utah";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
60;"PHW";"Tom Brennan";"Villanova University";"1";11;52;10;5;2;0,455;NA;NA;4,7;0,9;0,5;0,2;0,1;0,048;NA;NA;1958
61;"SYR";"Ruel Tucker";"Rockhurst University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
62;"STL";"Bruno Boin";"University of Washington";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
63;"MNL";"Joe Hobbs";"University of Florida";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
64;"CIN";"Larry Staverman";"Thomas More College";"5";265;3380;1237;1019;251;0,465;NA;0,785;12,8;4,7;3,8;0,9;6,9;0,097;NA;NA;1958
65;"DET";"Harry Marske";"North Dakota State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
66;"NYK";"John McCarthy";"University of Notre Dame";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
67;"PHW";"Nick Davis";"University of Maryland";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
68;"STL";"Tink Van Patton";"Temple University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
69;"MNL";"Shorty Patterson";"Gustavus Adolphus";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
70;"CIN";"Jack Parr";"Kansas State University";"1";66;1037;262;278;51;0,355;NA;0,603;15,7;4;4,2;0,8;-0,3;-0,014;NA;NA;1958
71;"DET";"Pete Gaudin";"Loyola University New Orleans";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
72;"PHW";"Larry Hedden";"Michigan State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
73;"STL";"James Purcell";"Coe College";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
74;"MNL";"Hal Duffy";"University of Oregon";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
75;"CIN";"Frank Tartaton";"Xavier University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
76;"DET";"Herb Merritt";"Tennessee Technological University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
77;"STL";"Don Klein";"Rockhurst University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
78;"MNL";"Gary Simmons";"University of Idaho";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
79;"CIN";"Don Medsker";"Iowa State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
80;"DET";"Jim Dew";"Alabama State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
81;"STL";"Joe Buckhalter";"Tennessee State University";"2";65;740;375;265;43;0,451;NA;0,627;11,4;5,8;4,1;0,7;1,2;0,075;NA;NA;1958
82;"MNL";"Jerry Alcom";"California State University, Fresno";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
83;"CIN";"Jerry DuPont";"University of Louisville";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
84;"CIN";"Jim Newcomb";"Duke University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
85;"CIN";"Adrian Smith";"University of Kentucky";"10";719;18324;8482;1580;1697;0,429;NA;0,836;25,5;11,8;2,2;2,4;31,7;0,083;NA;NA;1958
86;"CIN";"Jack McCarthy";"University of Dayton";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
87;"CIN";"John Powell";"Miami University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1958
1;"CIN";"Bob Boozer";"Kansas State University";"11";874;25549;12964;7119;1237;0,462;NA;0,761;29,2;14,8;8,1;1,4;64,2;0,121;NA;NA;1959
2;"DET";"Bailey Howell";"Mississippi State University";"12";950;30627;17770;9383;1853;0,48;NA;0,762;32,2;18,7;9,9;2;114,8;0,18;NA;NA;1959
3;"MNL";"Tom Hawkins";"University of Notre Dame";"10";764;18465;6672;4607;871;0,447;NA;0,57;24,2;8,7;6;1,1;24,1;0,063;NA;NA;1959
4;"SYR";"Dick Barnett";"Tennessee State University";"14";971;28937;15358;2812;2729;0,456;NA;0,761;29,8;15,8;2,9;2,8;68,7;0,114;-8,2;-0,1;1959
5;"NYK";"Johnny Green";"Michigan State University";"14";1057;24624;12281;9083;1449;0,493;NA;0,553;23,3;11,6;8,6;1,4;58;0,113;NA;NA;1959
6;"BOS";"John Richter";"North Carolina State University";"1";66;808;285;312;27;0,34;NA;0,504;12,2;4,3;4,7;0,4;0,4;0,026;NA;NA;1959
7;"DET";"Tom Robitaille";"Rice University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1959
8;"DET";"Don Goldstein";"University of Louisville";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1959
9;"PHW";"Joe Ruklick";"Northwestern University";"3";114;909;398;286;48;0,366;NA;0,613;8;3,5;2,5;0,4;0;-0,001;NA;NA;1959
